# Energies_eV	Pt-foil-5mu
11018.99	0.93928
11019.99	0.93502
11020.99	0.93539
11021.99	0.93961
11022.99	0.94035
11023.99	0.93804
11024.99	0.93615
11025.99	0.9351
11026.99	0.93548
11027.99	0.93626
11028.99	0.93779
11029.99	0.93802
11030.99	0.93592
11031.99	0.93453
11032.99	0.93383
11033.99	0.93472
11034.99	0.93254
11035.99	0.93336
11036.99	0.93376
11037.99	0.93525
11038.99	0.93437
11039.99	0.93093
11040.99	0.92901
11041.99	0.9294
11042.99	0.93111
11043.99	0.93249
11044.99	0.93407
11045.99	0.93381
11046.99	0.93174
11047.99	0.92989
11048.99	0.92949
11049.99	0.93106
11050.99	0.93047
11051.99	0.92933
11052.99	0.93001
11053.99	0.93101
11054.99	0.93148
11055.99	0.93096
11056.99	0.92848
11057.99	0.92847
11058.99	0.92732
11059.99	0.92788
11060.99	0.92712
11061.99	0.92681
11062.99	0.92503
11063.99	0.92465
11064.99	0.92651
11065.99	0.92767
11066.99	0.92884
11067.99	0.92814
11068.99	0.9293
11069.99	0.92999
11070.99	0.92904
11071.99	0.92462
11072.99	0.92302
11073.99	0.92574
11074.99	0.92721
11075.99	0.92676
11076.99	0.92295
11077.99	0.92129
11078.99	0.91976
11079.99	0.92061
11080.99	0.9216
11081.99	0.92269
11082.99	0.92198
11083.99	0.92188
11084.99	0.91858
11085.99	0.91913
11086.99	0.921
11087.99	0.92476
11088.99	0.92601
11089.99	0.92511
11090.99	0.92195
11091.99	0.92134
11092.99	0.92248
11093.99	0.92484
11094.99	0.92386
11095.99	0.92097
11096.99	0.91987
11097.99	0.92101
11098.99	0.92103
11099.99	0.92003
11100.99	0.91701
11101.99	0.91773
11102.99	0.91919
11103.99	0.91792
11104.99	0.91531
11105.99	0.9166
11106.99	0.92091
11107.99	0.92177
11108.99	0.91731
11109.99	0.91459
11110.99	0.91355
11111.99	0.91276
11112.99	0.91433
11113.99	0.91498
11114.99	0.91607
11115.99	0.9138
11116.99	0.91409
11117.99	0.91385
11118.99	0.9129
11119.99	0.91145
11120.99	0.91134
11121.99	0.91485
11122.99	0.91612
11123.99	0.91551
11124.99	0.91272
11125.99	0.91024
11126.99	0.90976
11127.99	0.91025
11128.99	0.91205
11129.99	0.9138
11130.99	0.91224
11131.99	0.91155
11132.99	0.90925
11133.99	0.90915
11134.99	0.90931
11135.99	0.91143
11136.99	0.91301
11137.99	0.91407
11138.99	0.91327
11139.99	0.91213
11140.99	0.90943
11141.99	0.9083
11142.99	0.90729
11143.99	0.90794
11144.99	0.90723
11145.99	0.90856
11146.99	0.90878
11147.99	0.90823
11148.99	0.90667
11149.99	0.90558
11150.99	0.90601
11151.99	0.90675
11152.99	0.90666
11153.99	0.90648
11154.99	0.90747
11155.99	0.90869
11156.99	0.90799
11157.99	0.90678
11158.99	0.90412
11159.99	0.90166
11160.99	0.90217
11161.99	0.90445
11162.99	0.90535
11163.99	0.90447
11164.99	0.90292
11165.99	0.90268
11166.99	0.90345
11167.99	0.90232
11168.99	0.9001
11169.99	0.8992
11170.99	0.89848
11171.99	0.89936
11172.99	0.89967
11173.99	0.90022
11174.99	0.8992
11175.99	0.89796
11176.99	0.89863
11177.99	0.89938
11178.99	0.90079
11179.99	0.89913
11180.99	0.89922
11181.99	0.89836
11182.99	0.89786
11183.99	0.89836
11184.99	0.89833
11185.99	0.89874
11186.99	0.89946
11187.99	0.89958
11188.99	0.89822
11189.99	0.89571
11190.99	0.89388
11191.99	0.89408
11192.99	0.89384
11193.99	0.89501
11194.99	0.89543
11195.99	0.89554
11196.99	0.895
11197.99	0.89506
11198.99	0.89202
11199.99	0.8913
11200.99	0.89031
11201.99	0.89386
11202.99	0.89405
11203.99	0.89225
11204.99	0.89013
11205.99	0.89168
11206.99	0.89208
11207.99	0.89221
11208.99	0.89178
11209.99	0.89274
11210.99	0.89305
11211.99	0.89311
11212.99	0.88988
11213.99	0.88922
11214.99	0.88781
11215.99	0.88824
11216.99	0.88755
11217.99	0.88869
11218.99	0.88994
11219.99	0.89044
11220.99	0.88982
11221.99	0.88881
11222.99	0.8856
11223.99	0.88472
11224.99	0.88563
11225.99	0.88576
11226.99	0.88478
11227.99	0.88314
11228.99	0.88486
11229.99	0.88627
11230.99	0.88754
11231.99	0.88572
11232.99	0.88646
11233.99	0.88635
11234.99	0.88475
11235.99	0.88407
11236.99	0.88459
11237.99	0.88602
11238.99	0.88682
11239.99	0.88811
11240.99	0.88723
11241.99	0.88567
11242.99	0.88551
11243.99	0.88454
11244.99	0.88408
11245.99	0.88305
11246.99	0.88356
11247.99	0.88475
11248.99	0.88579
11249.99	0.8853
11250.99	0.88203
11251.99	0.88032
11252.99	0.87989
11253.99	0.8785
11254.99	0.87918
11255.99	0.87943
11256.99	0.87994
11257.99	0.88071
11258.99	0.88113
11259.99	0.87856
11260.99	0.87715
11261.99	0.87809
11262.99	0.88001
11263.99	0.88072
11264.99	0.88014
11265.99	0.88047
11266.99	0.88012
11267.99	0.87999
11268.99	0.87893
11269.99	0.87768
11270.99	0.87697
11271.99	0.87711
11272.99	0.8767
11273.99	0.87646
11274.99	0.87701
11275.99	0.87975
11276.99	0.88118
11277.99	0.88094
11278.99	0.87576
11279.99	0.87485
11280.99	0.87471
11281.99	0.87469
11282.99	0.87376
11283.99	0.87209
11284.99	0.87213
