# Sample Noprmalized mu = col 2  
# This file has been produced by extranormal (v 1.0.1 - February 23, 2017)
# O. Roudenko - Synchrotron SOLEIL. Covered by GPL licence.
#Data from HDF File: /nfs/ruche-rock/rock-soleil/com-rock/2019/Projets/20191212_Matthias/References/Mo_foil/Mo_foil_00002.nxs to Mo_foil_00051.nxs
#Time at start=2019-12-17 12:08:56.932
#Time from start (seconds)=129.260314251
#Sample temperature (C)=nan
# Normalization -------------
# pivot spectrum: Standard_Mo_s3_100_He_Mo_0001_av1200_00001.txt
# E0=20000.0   Eshift=4.20721580259
# E0_pivot = 20000.0
# pre-edge params: from E0_pivot-250.0 to E0_pivot-60.0
# pre-edge range: [19750.0, 19940.0]
# post-edge params: from E0_pivot+150.0 to E0_pivot+1300.0
# post-edge range: [20150.0, 21300.0]
# I jump at E0_pivot = 1.11007626724
# shifted energy	normalized	reference	ref.derivative
       20109      1.01113     1.551213 0.0008870676
       20112     1.013353     1.553031  0.001088213
       20115      1.01645     1.555532  0.001753715
       20118     1.022651     1.561548  0.002587687
       20121     1.032842     1.572258  0.002957786
       20124     1.044201     1.584083  0.002219717
       20127     1.051154     1.591025 0.0003916354
       20130     1.049278     1.588184 -0.001834429
       20133     1.040066     1.576957 -0.003818676
       20136     1.027542      1.56207 -0.004998423
       20139     1.013135     1.545201 -0.005164056
       20142    0.9985324     1.528203 -0.004488923
       20145    0.9873891     1.514989 -0.003320329
       20148    0.9819638     1.508203 -0.002048802
       20151    0.9799478     1.505357 -0.0009013846
       20154    0.9789899     1.503618 9.101736e-05
       20157    0.9805617     1.504172 0.0009533101
       20160    0.9859008     1.509295  0.001656268
       20163    0.9934014     1.516797  0.001989165
       20166     1.000064     1.523493  0.001676122
       20169      1.00482     1.528042 0.0009462004
       20172     1.006823     1.529408 0.0003818422
       20175     1.006292     1.528151 0.0005316809
       20178     1.006866     1.528075  0.001647899
       20181     1.013346     1.534422  0.003332206
       20184     1.027317     1.549183  0.004565486
       20187     1.044821     1.568138  0.004449996
       20190     1.058713     1.582861  0.002742927
       20193     1.064073     1.587822 -0.0001271145
       20196     1.059754     1.582098 -0.003338595
       20199     1.046455     1.566612 -0.006138025
       20202     1.025713     1.542798 -0.008065694
       20205     1.000706     1.514166 -0.008718337
       20208    0.9757119      1.48531 -0.007798773
       20211    0.9554007     1.461992 -0.005420423
       20214    0.9448401     1.449212 -0.002327022
       20217    0.9453962     1.449121 0.0003545534
       20220    0.9531043     1.457386  0.001853815
       20223    0.9617249     1.466247  0.002037879
       20226    0.9671575     1.471458  0.001539426
       20229     0.969816     1.473575  0.001219077
       20232    0.9727135     1.475859  0.001435062
       20235    0.9778769     1.480876  0.002092127
       20238    0.9854569     1.488679  0.002835802
       20241    0.9949972     1.498681  0.003305719
       20244     1.005737     1.509888  0.003346429
       20247     1.016048     1.520544  0.002922839
       20250     1.024252     1.528836  0.002100588
       20253     1.029268     1.533755  0.001191717
       20256     1.031211     1.535095 0.0005171619
       20259      1.03173     1.534845 0.0001151867
       20262     1.032502     1.535042 -0.0001468477
       20265     1.033139     1.535137 -0.0005193552
       20268     1.032175     1.533333 -0.001117051
       20271       1.0287     1.528613 -0.001815023
       20274     1.023236     1.521637 -0.002541547
       20277     1.016259     1.513357 -0.003243333
       20280      1.00736     1.502835 -0.003708259
       20283     0.996718     1.489693 -0.003851485
       20286    0.9861944     1.477138 -0.003651661
       20289     0.977697     1.467139 -0.003150238
       20292    0.9711057     1.459015 -0.002614884
       20295      0.96537      1.45189 -0.002097685
       20298    0.9605739      1.44576 -0.001419556
       20301    0.9577842     1.441967 -0.0004512082
       20304     0.958508      1.44198 0.0007017402
       20307    0.9634187     1.446475  0.001743222
       20310    0.9710946      1.45418  0.002416984
       20313    0.9793893     1.462886   0.00269271
       20316    0.9873404     1.470984  0.002666438
       20319    0.9950598     1.478788  0.002449662
       20322     1.002215     1.486178  0.002176466
       20325      1.00835     1.492282  0.001836358
       20328     1.013444     1.497101  0.001429741
       20331     1.017437     1.500824  0.001018629
       20334     1.020246     1.503335 0.0006104292
       20337     1.021873     1.504505 0.0001427926
       20340     1.022149     1.504427 -0.0003779656
       20343     1.021032     1.502538 -0.0008288132
       20346     1.018808     1.498799 -0.001188251
       20349     1.015687     1.494559 -0.001310024
       20352     1.012397     1.490168 -0.001152276
       20355     1.010077     1.486817 -0.0009229248
       20358     1.008951     1.484972 -0.0007833308
       20361     1.008225     1.483484 -0.0008915933
       20364      1.00653     1.480768 -0.001288243
       20367     1.003009     1.476118 -0.001813326
       20370    0.9977257     1.469513 -0.002071345
       20373    0.9918334     1.461724 -0.001884671
       20376    0.9873259     1.455911 -0.001356428
       20379    0.9854197     1.453502 -0.0006967275
       20382     0.985724     1.453236 -0.000227957
       20385    0.9866157     1.453364 -8.307011e-05
       20388    0.9871212     1.453176 -0.0001555723
       20391    0.9872922     1.452505 -0.0003148018
       20394     0.986858     1.451369 -0.0004317546
       20397    0.9858959     1.449586 -0.0003425437
       20400    0.9852982     1.447995 -3.745609e-05
       20403    0.9862804     1.448395 0.0004018723
       20406    0.9890751     1.450919 0.0007679546
       20409    0.9926432     1.454408 0.0008668072
       20412    0.9958731      1.45721 0.0006975153
       20415    0.9980449     1.458797 0.0003355046
       20418    0.9990352     1.459289 -2.368358e-05
       20421    0.9990159     1.458435 -0.0002811192
       20424    0.9983821     1.456926 -0.0004321575
       20427    0.9974888     1.455423 -0.0004086855
       20430    0.9969213     1.454104 -0.000220682
       20433    0.9971675      1.45353  5.89192e-05
       20436    0.9983195     1.454278  0.000400302
       20439     1.000582      1.45613 0.0007141583
       20442      1.00383     1.458907 0.0008618399
       20445     1.007378       1.4621 0.0007577995
       20448       1.0102      1.46462 0.0004302595
       20451     1.011585     1.465224 -3.421611e-05
       20454      1.01113      1.46407 -0.0004588192
       20457     1.009531      1.46169 -0.0006716066
       20460     1.007974     1.459114 -0.0007304375
